text	help
24‑hour city layover plans	(three anchors only) 24hour-city-layover-plans
Airport rituals to travel smoother	(pack light, hydrate, stretch) airport-rituals-to-travel-smoother
Alternative stays to try	(hostel, farmstay, monastery) alternative-stays-to-try
Best sunrise/sunset spots	(map + time + backup) best-sunrisesunset-spots
Cities I'd design if I were a city planner	(feature + problem it solves) cities-id-design-if-i-were-a-city-planner
Cultural differences that fascinate me	(custom + what it reveals) cultural-differences-that-fascinate-me
Day trips by train	(e.g., one museum) day-trips-by-train
Dream vacations	(anchor around a festival or friend) dream-vacations
Food tours I could plan	(e.g., dumpling crawl) food-tours-i-could-plan
Hikes within an hour of home	(trail + difficulty) hikes-within-an-hour-of-home
Local adventures	(explore a “first” nearby) local-adventures
Micro adventures before work	(e.g., sunrise walk) micro-adventures-before-work
Packing lists by trip type	(template + must‑haves) packing-lists-by-trip-type
Places to visit	(pair place with a person to meet) places-to-visit
Road trips	(theme + playlist + snack) road-trips
Souvenirs that age well	(usable + local‑made) souvenirs-that-age-well
Street markets to explore	(hours + must‑eat) street-markets-to-explore
Things I would bring back in time	(e.g., survival book) things-i-would-bring-back-in-time
Train journeys worth a detour	(scenic + duration) train-journeys-worth-a-detour
Travel buddies to invite	(match vibe to trip) travel-buddies-to-invite
Unique travel experiences	(do what only locals do) unique-travel-experiences
Walkable neighborhoods to explore	(e.g., 10 blocks new) walkable-neighborhoods-to-explore
Weekend getaway	(2‑hour radius + one highlight) weekend-getaway
Weekend itineraries by theme	(art, food, outdoors) weekend-itineraries-by-theme
Conversations I'd have with a stranger on a long train ride	(topic + opening question) conversations-id-have-with-a-stranger-on-a-train
Meals I've eaten while traveling that I still think about	(dish + what made it memorable) meals-ive-eaten-while-traveling-i-still-think-about
Places I'd revisit with completely different eyes now	(place + what I'd notice differently) places-id-revisit-with-different-eyes-now
Smells or sounds that remind me of places I've been	(sense + destination it conjures) smells-or-sounds-that-remind-me-of-places
Travel rules I always break and ones I always keep	(rule + why I bend or hold it) travel-rules-i-always-break-and-ones-i-keep
Ways to feel like a tourist in my own city	(activity + fresh perspective) ways-to-feel-like-a-tourist-in-my-own-city
