text	help
Emotions I felt today that I didn't name at the time	(moment + the feeling underneath) emotions-i-felt-today-that-i-didnt-name-at-the-time
Intentions for tomorrow	(one word to guide your day) intentions-for-tomorrow
Micro-meditations I can repeat	(e.g., 3 breaths) micro-meditations-i-can-repeat
Mindful activities for this week	(tea, walk, or breath—pick one) mindful-activities-for-this-week
Moments this week where I chose reaction over response	(trigger + gentler replay) moments-this-week-where-i-chose-reaction-over-response
Moments today when I felt present	(name the sensory detail) moments-today-when-i-felt-present
Peaceful environments	(light + sound + smell) peaceful-environments
Places in my home that feel calm	(e.g., a corner) places-in-my-home-that-feel-calm
Sensations I'm noticing right now	(name 3 without judging) sensations-im-noticing-right-now
Small things I rushed past today that deserved attention	(what I'd revisit slowly) small-things-i-rushed-past-today-that-deserved-attention
Sounds heard in the monring upon waking	(e.g., birds chirping) sounds-heard-in-the-monring-upon-waking
Things I can hear if I close my eyes for 30 seconds	(layer by layer) things-i-can-hear-if-i-close-my-eyes-for-30-seconds
Things I can savor today	(e.g., one sip) things-i-can-savor-today
Thoughts I can let go of	(“I notice I’m thinking…”) thoughts-i-can-let-go-of
Times today I was on autopilot	(moment + what I missed) times-today-i-was-on-autopilot
Triggers I want to be aware of	(event → helpful response) triggers-i-want-to-be-aware-of
Ways to close the day gently	(e.g., low light) ways-to-close-the-day-gently
Ways to ground myself when anxious	(5‑4‑3‑2‑1 senses) ways-to-ground-myself-when-anxious
What my body is holding tension about right now	(where + what it's tied to) what-my-body-is-holding-tension-about-right-now
When I feel least myself	(situation + gentle boundary) when-i-feel-least-myself
When I feel most myself	(situation + ritual to amplify) when-i-feel-most-myself
Assumptions I made recently that turned out wrong	(assumption + what actually happened) assumptions-i-made-recently-that-turned-out-wrong
Beauty I walked past recently without stopping	(what it was + how I'd revisit it) beauty-i-walked-past-recently-without-stopping
Colors I've noticed recently	(where + the feeling they evoked) colors-ive-noticed-recently
Conversations where I was waiting to talk instead of listening	(moment + what I missed) conversations-where-i-was-waiting-to-talk-instead-of-listening
Familiar things I could experience as if for the first time	(object or place + beginner's eyes) familiar-things-i-could-experience-as-if-for-the-first-time
Feelings I labeled as "fine" that were actually something else	(moment + real feeling underneath) feelings-i-labeled-as-fine-that-were-something-else
Moments of unexpected stillness in my day	(when + what I noticed in the quiet) moments-of-unexpected-stillness-in-my-day
Patterns in my thinking that show up when I'm stressed	(thought pattern + compassionate redirect) patterns-in-my-thinking-when-stressed
Routines I do mindlessly that I could do mindfully	(routine + one sense to engage) routines-i-do-mindlessly-that-i-could-do-mindfully
Smells that transport me somewhere	(scent + where it takes me) smells-that-transport-me-somewhere
Stories I tell myself that aren't facts	(story + what the facts actually are) stories-i-tell-myself-that-arent-facts
Tastes I could slow down and really notice	(food or drink + one full minute) tastes-i-could-slow-down-and-really-notice
Things I'm grateful for that I usually take for granted	(thing + what life would be without it) things-im-grateful-for-that-i-usually-take-for-granted
Times I was fully here vs. somewhere else in my head	(moment + where my mind went) times-i-was-fully-here-vs-somewhere-else
Ways I could bring curiosity to something boring	(task + one question to ask about it) ways-i-could-bring-curiosity-to-something-boring
