text	help
Appliances that alter reality when used	(every use exacts a small cost) appliances-that-alter-reality-when-used
Apps that work differently depending on your mood	(mood + feature shift) apps-that-work-differently-depending-on-your-mood
Devices that obey contradictory commands	(works only when told not to) devices-that-obey-contradictory-commands
Furniture that has opinions about interior design	(piece + critique + demand) furniture-that-has-opinions-about-interior-design
Gadgets powered by impossible energy sources	(source + delightful hazard) gadgets-powered-by-impossible-energy-sources
Household items that function in dreams	(works only while you sleep) household-items-that-function-in-dreams
Inventions that transform emotions into matter	(feeling → material + side effect) inventions-that-transform-emotions-into-matter
Kitchen appliances from an alternate dimension	(appliance + physics it ignores) kitchen-appliances-from-an-alternate-dimension
Machines built from intangible materials	(what it’s made of + failure mode) machines-built-from-intangible-materials
Machines that run on regret	(regret type + output + exhaust) machines-that-run-on-regret
Musical instruments that play emotions instead of notes	(emotion + sound + audience effect) musical-instruments-that-play-emotions-instead-of-notes
Personal assistants with bizarre limitations	(useful but hilariously specific constraints) personal-assistants-with-bizarre-limitations
Sensors tuned to imaginary phenomena	(detects X; false positives are Y) sensors-tuned-to-imaginary-phenomena
Transportation modes that ignore physics	(rule broken + one rule kept) transportation-modes-that-ignore-physics
Wearable tech with surreal side effects	(benefit + embarrassing quirk) wearable-tech-with-surreal-side-effects
Alarm clocks that wake you in impossible ways	(method + unintended consequence) alarm-clocks-that-wake-you-in-impossible-ways
Books that rewrite themselves based on who's reading	(genre shift + identity crisis) books-that-rewrite-themselves-based-on-whos-reading
Calendars that rearrange time	(what moves + what breaks) calendars-that-rearrange-time
Doors that open to places based on your heartbeat	(calm destination + panicked destination) doors-that-open-based-on-heartbeat
Glasses that show you how objects feel about being owned	(happy object + resentful object) glasses-that-show-how-objects-feel
Hats that broadcast your inner monologue in a different language	(language + comedic mistranslation) hats-that-broadcast-inner-monologue
Lamps that light up memories instead of rooms	(memory type + brightness rule) lamps-that-light-up-memories
Maps that show emotional terrain instead of geography	(emotion = landscape feature) maps-that-show-emotional-terrain
Mirrors that reflect your personality instead of your face	(trait + visual representation) mirrors-that-reflect-personality
Pens that only write true statements	(inconvenient truth + workaround) pens-that-only-write-true-statements
Shoes that walk you to where you need to be, not where you want to go	(destination + protest method) shoes-that-walk-you-where-you-need-to-be
Umbrellas that shelter you from abstract concepts	(concept blocked + leakage) umbrellas-that-shelter-from-abstract-concepts
Vending machines that dispense life advice	(coin type + advice quality) vending-machines-that-dispense-life-advice
Wallets that judge your purchases	(approval method + shame mechanic) wallets-that-judge-your-purchases
Windows that look onto different centuries	(era visible + thing you can't unsee) windows-that-look-onto-different-centuries
