text	help
Content formats our audience actually consumes	(format + platform + cadence) content-formats-our-audience-actually-consumes
Content marketing topics for our blog	(teach insights from users) content-marketing-topics-for-our-blog
Email marketing sequences to create	(e.g., welcome series) email-marketing-sequences-to-create
Free marketing channels we haven't tried	(channel + first experiment) free-marketing-channels-we-havent-tried
Growth hacks to try this month	(one experiment per week) growth-hacks-to-try-this-month
Guerrilla marketing tactics to try	(unexpected venue + prop) guerrilla-marketing-tactics-to-try
Influencer collaboration ideas	(micro‑creators + authentic tie) influencer-collaboration-ideas
Partnership opportunities to explore	(complementary product + win‑win) partnership-opportunities-to-explore
PR angles for our story	(timely hook + human story) pr-angles-for-our-story
Referral program ideas	(reward both sides) referral-program-ideas
Social media campaigns to run	(theme + challenge + hashtag) social-media-campaigns-to-run
Stories about our origin that people would share	(moment + why it resonates) stories-about-our-origin-that-people-would-share
Types of communities to engage with	(where users already gather) types-of-communities-to-engage-with
Unexpected audiences for our product	(who + why they'd care) unexpected-audiences-for-our-product
Ways to turn customers into evangelists	(delight + shareable moment) ways-to-turn-customers-into-evangelists
Analogies that explain what we do to someone's grandma	(simple + memorable) analogies-that-explain-what-we-do-simply
Brand values we embody vs. ones we just claim	(value + proof point) brand-values-we-embody-vs-just-claim
Case studies hiding in our existing customers	(customer + transformation story) case-studies-hiding-in-our-existing-customers
Cold outreach messages that wouldn't annoy me	(hook + genuine value) cold-outreach-messages-that-wouldnt-annoy-me
Community events we could host	(format + topic + vibe) community-events-we-could-host
Competitors' marketing moves I secretly admire	(tactic + our spin on it) competitors-marketing-moves-i-secretly-admire
Customer pain points we should be talking about more	(pain + our angle) customer-pain-points-we-should-talk-about-more
Headlines that would make someone stop scrolling	(hook + curiosity gap) headlines-that-would-make-someone-stop-scrolling
Objections prospects raise before buying	(objection + response that converts) objections-prospects-raise-before-buying
One-liner descriptions of our product for different audiences	(audience + pitch) one-liner-descriptions-for-different-audiences
Places our ideal customer hangs out online	(platform + how to show up authentically) places-our-ideal-customer-hangs-out-online
Testimonial prompts to send happy customers	(question + format they'd enjoy) testimonial-prompts-to-send-happy-customers
Ways our product makes someone look good to their boss	(outcome + bragging rights) ways-our-product-makes-someone-look-good
Ways to create urgency without being sleazy	(genuine reason + honest framing) ways-to-create-urgency-without-being-sleazy
Ways to repurpose one piece of content into ten	(source + format variations) ways-to-repurpose-one-piece-of-content
