text	help
Comfort foods I could make healthier without ruining them	(swap one ingredient) comfort-foods-i-could-make-healthier-without-ruining-them
Foods that make me feel good vs foods that don't	(notice the pattern) foods-that-make-me-feel-good-vs-foods-that-dont
Healthy habits to practice while traveling	(water, walk, and wind‑down) healthy-habits-to-practice-while-traveling
Healthy snacks to prepare	(protein + fiber + crunch) healthy-snacks-to-prepare
Micro-habits that compound over months	(tiny daily act + long payoff) micro-habits-that-compound-over-months
Morning routine improvements	(add light + movement) morning-routine-improvements
Outdoor activities to try	(buddy + simple route) outdoor-activities-to-try
Physical activities that don't feel like exercise	(play + movement) physical-activities-that-dont-feel-like-exercise
Playful ways to be active with friends	(game with a silly rule) playful-ways-to-be-active-with-friends
Quick home workouts without equipment	(AMRAP 10: 3 moves) quick-home-workouts-without-equipment
Relaxing evening routines	(screens off + cozy cue) relaxing-evening-routines
Stress-relief activities	(breath + body + brain) stress-relief-activities
Stretches to do during work breaks	(pick 3 and loop hourly) stretches-to-do-during-work-breaks
Things I do that future-me's body will thank me for	(investment in tomorrow) things-i-do-that-future-mes-body-will-thank-me-for
Things I like eating	(pair tasty with nutrient) things-i-like-eating
Things that would improve my sleep	(cool, dark, and consistent) things-that-would-improve-my-sleep
Top health concerns	(concern → one appointment or test) top-health-concerns
Ways my body tells me it needs rest	(signal + what I usually ignore) ways-my-body-tells-me-it-needs-rest
Ways to add more movement to my life	(stack onto existing habit) ways-to-add-more-movement-to-my-life
Ways to reduce screen time	(swap one slot with analog) ways-to-reduce-screen-time
Ways to stay hydrated	(habit cue + bottle nearby) ways-to-stay-hydrated
Wellness goals for the month	(weekly checkpoint + reward) wellness-goals-for-the-month
Body parts I never stretch but probably should	(area + one stretch to try) body-parts-i-never-stretch-but-probably-should
Cooking skills that would make eating healthier easier	(skill + one recipe to practice it) cooking-skills-that-would-make-eating-healthier-easier
Excuses I make to skip exercise and what's really behind them	(excuse + real barrier + fix) excuses-i-make-to-skip-exercise
Foods I ate as a kid that I should bring back	(food + why it was good for me) foods-i-ate-as-a-kid-that-i-should-bring-back
Health habits I keep meaning to start	(habit + smallest version of it) health-habits-i-keep-meaning-to-start
Health habits that cost nothing but I still don't do	(habit + what gets in the way) health-habits-that-cost-nothing-but-i-still-dont-do
Meals I could prep on Sunday to eat well all week	(meal + time to prep) meals-i-could-prep-on-sunday
Movements that feel good and I keep forgetting to do	(movement + when to fit it in) movements-that-feel-good-and-i-keep-forgetting
One-minute health habits I could stack onto existing routines	(existing habit + health add-on) one-minute-health-habits-to-stack
Posture habits to fix before they become problems	(bad habit + correction) posture-habits-to-fix
Snacks I reach for when tired vs. snacks that would actually help	(tired pick + better swap) snacks-i-reach-for-when-tired-vs-better-options
Things I do that undermine my sleep without realizing	(habit + why it disrupts sleep) things-i-do-that-undermine-my-sleep
Ways to make water more interesting to drink	(flavor + vessel + ritual) ways-to-make-water-more-interesting
Weekend activities that leave me physically refreshed for Monday	(activity + energy level after) weekend-activities-that-leave-me-refreshed
