text	help
Benefits we'd want from an accelerator	(e.g., mentors) benefits-wed-want-from-an-accelerator
Bootstrapping strategies to extend runway	(e.g., charge earlier) bootstrapping-strategies-to-extend-runway
Creative ways to generate revenue before raising	(offer + who pays now) creative-ways-to-generate-revenue-before-raising
Crowdfunding campaign ideas	(hook + reward + video angle) crowdfunding-campaign-ideas
Grant categories to explore	(keywords to filter) grant-categories-to-explore
Investor pitch angles	(story + traction + moat) investor-pitch-angles
Metrics to show investors	(north star + growth) metrics-to-show-investors
Milestones that would make us fundable	(proof point + timeline) milestones-that-would-make-us-fundable
Non-obvious costs we're not budgeting for	(hidden expense + buffer plan) non-obvious-costs-were-not-budgeting-for
Objections investors might have	(pre‑empt with data) objections-investors-might-have
Revenue streams to explore	(e.g., recurring) revenue-streams-to-explore
Stories investors would retell about our company	(narrative + memorable detail) stories-investors-would-retell-about-our-company
Types of investors to approach	(e.g., pre‑seed) types-of-investors-to-approach
Ways to extend runway without cutting team	(savings lever + morale check) ways-to-extend-runway-without-cutting-team
Ways to increase our valuation	(de‑risk one core thing) ways-to-increase-our-valuation
Analogies that explain our business model simply	(like X but for Y) analogies-that-explain-our-business-model-simply
Assets we could license instead of build	(save time + reduce burn) assets-we-could-license-instead-of-build
Biggest fears investors would have about us	(fear + honest answer) biggest-fears-investors-would-have-about-us
Competitors who got funded and why	(what they proved + our version) competitors-who-got-funded-and-why
Customer quotes that would make an investor lean in	(pain + relief) customer-quotes-that-would-make-an-investor-lean-in
Deals we could close this month to prove traction	(prospect + path to yes) deals-we-could-close-this-month-to-prove-traction
Demo moments that would make investors say wow	(feature + emotional beat) demo-moments-that-would-make-investors-say-wow
First things we'd do with $500K	(spend + expected unlock) first-things-wed-do-with-500k
Lessons from fundraising rejections	(reason given + what we'd do differently) lessons-from-fundraising-rejections
Non-dilutive funding we haven't explored	(source + eligibility criteria) non-dilutive-funding-we-havent-explored
Questions we dread from investors	(question + truthful answer) questions-we-dread-from-investors
Signs our unit economics are improving	(metric + trend + cause) signs-our-unit-economics-are-improving
Things about our market that most people get wrong	(misconception + reality) things-about-our-market-that-most-people-get-wrong
Ways to build investor relationships before we need money	(touch point + value we offer them) ways-to-build-investor-relationships-early
Ways to show momentum without revenue	(signal + how to measure it) ways-to-show-momentum-without-revenue
