text	help
Alien field notes on human mating rituals	(ritual observed + wildly wrong conclusion) alien-field-notes-on-human-mating-rituals
Alien reviews of human music	(genre + star rating + baffled commentary) alien-reviews-of-human-music
Interpretations of nature by beings from gas giants	(their weather is their metaphor) interpretations-of-nature-by-beings-from-gas-giants
Logs from aliens observing daily life	(misname a common behavior) logs-from-aliens-observing-daily-life
Misconceptions about human relationships	(assume a strange contract) misconceptions-about-human-relationships
Possible alien explanations for common technologies	(wrong but consistent story) possible-alien-explanations-for-common-technologies
Products designed for anatomies unlike ours	(weird ergonomics you’d want) products-designed-for-anatomies-unlike-ours
Questions an extraterrestrial would ask about Earth	(ask about the wrong thing) questions-an-extraterrestrial-would-ask-about-earth
Sports as imagined by gravity-free species	(movement + scoring twist) sports-as-imagined-by-gravity-free-species
Things an alien would find terrifying about Earth that we think are normal	(everyday thing + alien horror) things-an-alien-would-find-terrifying-about-earth-that-we-think-are-normal
Tourist brochures for Earth written by confused aliens	(attraction + hilariously wrong description) tourist-brochures-for-earth-written-by-confused-aliens
Views on art from non-human senses	(judge by non‑visual sense) views-on-art-from-non-human-senses
Ways an alien might misinterpret human rituals	(ritual outcome hilariously wrong) ways-an-alien-might-misinterpret-human-rituals
What alien historians might record about humans	(oddly trivial records) what-alien-historians-might-record-about-humans
Where are all the aliens?	(answer that isn’t “they’re far”) where-are-all-the-aliens
Alien cookbook entries for human foods	(dish + wildly wrong preparation method) alien-cookbook-entries-for-human-foods
Alien explanations for why humans wear clothes	(theory + fatal flaw in reasoning) alien-explanations-for-why-humans-wear-clothes
Alien gift guides for humans	(gift + what they think we’d use it for) alien-gift-guides-for-humans
Alien interpretations of human sports	(sport + completely wrong purpose they assign) alien-interpretations-of-human-sports
Alien pet care guides for keeping a human	(care tip + hilarious misunderstanding) alien-pet-care-guides-for-keeping-a-human
Alien reviews of Earth’s weather	(weather event + star rating + bafflement) alien-reviews-of-earths-weather
Alien theories about why humans sleep	(theory + what they think dreams are for) alien-theories-about-why-humans-sleep
Animals that aliens would worship and why	(animal + divine quality they’d see) animals-that-aliens-would-worship
Earth customs that would be illegal on other planets	(custom + alien law it violates) earth-customs-that-would-be-illegal-on-other-planets
Emergency protocols aliens would create for visiting Earth	(danger + hilariously wrong precaution) emergency-protocols-aliens-would-create-for-earth
How aliens would redesign the human body	(improvement + unintended side effect) how-aliens-would-redesign-the-human-body
Things aliens would collect as Earth souvenirs	(object + why they find it precious) things-aliens-would-collect-as-earth-souvenirs
Warning labels aliens would put on everyday objects	(object + danger they perceive) warning-labels-aliens-would-put-on-everyday-objects
What aliens would consider Earth’s greatest achievement	(achievement + why it impresses them) what-aliens-would-consider-earths-greatest-achievement
Why aliens might think pets are actually in charge	(evidence they’d cite) why-aliens-might-think-pets-are-in-charge
