text	help
Assumptions we're making that we haven't validated	(assumption + cheapest test) assumptions-were-making-that-we-havent-validated
Features our MVP must have	(one daily use case) features-our-mvp-must-have
Features our power users would beg for	(workflow + time saved) features-our-power-users-would-beg-for
Feedback questions to ask beta users	(one pain, one wish, one wow) feedback-questions-to-ask-beta-users
Friction points in our current UX	(step + what users feel) friction-points-in-our-current-ux
Integration possibilities with other tools	(where data should flow) integration-possibilities-with-other-tools
Metrics we should track	(e.g., activation) metrics-we-should-track
Potential pivot ideas if this doesn't work	(who else needs this?) potential-pivot-ideas-if-this-doesnt-work
Pricing strategies to consider	(tiers by value) pricing-strategies-to-consider
Things competitors do that annoy their users	(pain + our opportunity) things-competitors-do-that-annoy-their-users
User personas for our product	(job‑to‑be‑done + context) user-personas-for-our-product
Ways to delight users that cost us nothing	(surprise + zero budget) ways-to-delight-users-that-cost-us-nothing
Ways to differentiate from competitors	(do what they won’t) ways-to-differentiate-from-competitors
Ways to simplify the user experience	(remove a step) ways-to-simplify-the-user-experience
Ways to validate this idea quickly	(painted door or concierge) ways-to-validate-this-idea-quickly
Animations or micro-interactions that would delight users	(moment + feeling it creates) animations-or-micro-interactions-that-would-delight
Common workflows we make harder than they should be	(task + step to remove) common-workflows-we-make-harder-than-they-should-be
Edge cases that will bite us if we don't handle them	(scenario + graceful fallback) edge-cases-that-will-bite-us
Empty states that could teach instead of bore	(screen + helpful first action) empty-states-that-could-teach-instead-of-bore
Features we should kill	(feature + why nobody uses it) features-we-should-kill
Loading states that could do something useful	(wait time + info to show) loading-states-that-could-do-something-useful
Moments where users might feel lost	(screen + breadcrumb or hint) moments-where-users-might-feel-lost
Notifications we send that annoy instead of help	(notification + better trigger) notifications-we-send-that-annoy
Onboarding steps that create an aha moment	(action + realization it triggers) onboarding-steps-that-create-aha-moments
Problems our product almost solves but doesn't quite	(gap + minimum addition) problems-our-product-almost-solves
Questions users ask support that the UI should answer	(question + where to surface it) questions-users-ask-support-the-ui-should-answer
Settings that should be smart defaults instead	(setting + obvious best choice) settings-that-should-be-smart-defaults
Things users do with our product that surprise us	(behavior + what it reveals) things-users-do-with-our-product-that-surprise-us
Ways our product could work offline	(feature + graceful degradation) ways-our-product-could-work-offline
Ways to reduce time-to-value for new users	(barrier + shortcut) ways-to-reduce-time-to-value-for-new-users
