text	help
Cultural traditions to explore	(e.g., cook a dish) cultural-traditions-to-explore
Documentary topics that interest the family	(kid picks topic) documentary-topics-that-interest-the-family
Educational field trip themes	(nearby + hands‑on + cheap) educational-field-trip-themes
Educational game ideas	(points for kindness) educational-game-ideas
History stories to tell	(from an ancestor’s view) history-stories-to-tell
Languages to learn together	(phrase of the day) languages-to-learn-together
Math concepts in everyday life	(e.g., count things) math-concepts-in-everyday-life
Nature lessons in the backyard	(observe and sketch) nature-lessons-in-the-backyard
Questions my kids ask that I can't easily answer	(question + how to explore it together) questions-my-kids-ask-that-i-cant-easily-answer
Real-world problems to solve together as learning	(problem + skills it builds) real-world-problems-to-solve-together-as-learning
Skills kids can teach parents	(let them lead) skills-kids-can-teach-parents
Story themes to explore together	(theme + book + chat) story-themes-to-explore-together
Things I wish I'd learned as a kid	(skill + when I needed it) things-i-wish-id-learned-as-a-kid
Things we could build together to learn how stuff works	(project + concept inside it) things-we-could-build-together-to-learn-how-stuff-works
Ways to make boring subjects fascinating	(subject + real‑world hook) ways-to-make-boring-subjects-fascinating
Chores that secretly teach valuable skills	(chore + hidden lesson) chores-that-secretly-teach-valuable-skills
Dinner table debates the whole family could enjoy	(topic + rule to keep it fun) dinner-table-debates-the-whole-family-could-enjoy
Experiments we could do with stuff in the kitchen	(ingredient + science concept) experiments-we-could-do-with-kitchen-stuff
Games that teach math without kids realizing	(game mechanic + math concept) games-that-teach-math-without-kids-realizing
Mistakes I want my kids to make while I'm still around to help	(mistake + growth it unlocks) mistakes-i-want-my-kids-to-make-safely
Questions to ask instead of "how was school"	(question + what it opens up) questions-to-ask-instead-of-how-was-school
Rainy day projects that end with something to keep	(project + what they learn making it) rainy-day-projects-that-end-with-something-to-keep
Science concepts I could explain using our backyard	(concept + outdoor demo) science-concepts-i-could-explain-using-our-backyard
Skills I learned the hard way that I could teach gently	(skill + age-appropriate approach) skills-i-learned-the-hard-way-i-could-teach-gently
Stories from history that read like adventure tales	(event + the hook that grabs kids) stories-from-history-that-read-like-adventure-tales
Superpowers I want my kids to have by age 18	(skill + how to start building it now) superpowers-i-want-my-kids-to-have-by-18
Things I could learn alongside my kids	(topic + why starting together is better) things-i-could-learn-alongside-my-kids
Things in our house that could spark a lesson	(object + question it raises) things-in-our-house-that-could-spark-a-lesson
Ways to turn screen time into learning time	(show or game + discussion it sparks) ways-to-turn-screen-time-into-learning-time
Ways to turn a walk into an adventure	(theme + challenge along the way) ways-to-turn-a-walk-into-an-adventure
