text	help
Budget experiments to try	(one rule + one reward) budget-experiments-to-try
Expenses to eliminate without losing joy	(swap X for Y) expenses-to-eliminate-without-losing-joy
Financial experiments I could run for 30 days	(rule + what I'll learn) financial-experiments-i-could-run-for-30-days
Financial goals for this year	(number + first step) financial-goals-for-this-year
Freelance services I could offer	(niche + first client target) freelance-services-i-could-offer
High‑ROI learning purchases	(course/tool + expected outcome) highroi-learning-purchases
If money were no object	(fund a wildly kind act) if-money-were-no-object
Money beliefs I inherited from my family	(belief + is it still true?) money-beliefs-i-inherited-from-my-family
Odd monetary systems	(what’s valuable and why) odd-monetary-systems
One‑time set‑and‑forget money tasks	(auto‑transfer, freeze, alerts) onetime-setandforget-money-tasks
Pricing ideas for my work	(tiers + guarantee) pricing-ideas-for-my-work
Skills I have that people would pay for	(skill + first customer) skills-i-have-that-people-would-pay-for
Small bets with asymmetric upside	(cap downside at $X) small-bets-with-asymmetric-upside
Systems to prevent impulse buys	(24‑hour rule + exception) systems-to-prevent-impulse-buys
Things I spend money on that don't match my values	(expense + values gap) things-i-spend-money-on-that-dont-match-my-values
Things I thought were expensive that turned out to be cheap	(surprise + lesson) things-i-thought-were-expensive-that-turned-out-to-be-cheap
Things I'd invest in if I trusted my own judgment	(thesis + why I believe it) things-id-invest-in-if-i-trusted-my-own-judgment
Ways I waste money without noticing	(leak + plug it) ways-i-waste-money-without-noticing
Ways to increase my income	(one client or skill to sell) ways-to-increase-my-income
Ways to increase savings rate this month	(percent + concrete step) ways-to-increase-savings-rate-this-month
Ways to save money	(swap with equal joy cheaper) ways-to-save-money
Ways to speed up retirement	(raise savings rate by 1%) ways-to-speed-up-retirement
Ways to support creators I value	(pay, review, referral) ways-to-support-creators-i-value
What I'd do with a spare $1M	(give, build, or buy—choose one) what-id-do-with-a-spare-1m
Subscriptions or recurring costs worth rethinking	(service + is it still earning its keep?) subscriptions-or-recurring-costs-worth-rethinking
Conversations about money I've been avoiding	(with whom + what's at stake) conversations-about-money-ive-been-avoiding
Creative bartering opportunities	(skill I'd trade + what I'd get) creative-bartering-opportunities
Financial habits I admire in others	(habit + how I'd adapt it) financial-habits-i-admire-in-others
Financial mistakes I'm glad I made	(mistake + lesson it taught) financial-mistakes-im-glad-i-made
Things I pay for that have free alternatives	(paid tool + free swap worth trying) things-i-pay-for-that-have-free-alternatives
Money conversations I wish I'd had earlier	(topic + who I'd talk to) money-conversations-i-wish-id-had-earlier
Financial numbers I should know (and might not)	(net worth, insurance, rates) financial-numbers-i-should-know-and-might-not
Purchases that paid for themselves many times over	(item + how it multiplied) purchases-that-paid-for-themselves-many-times-over
Side projects that could generate passive income	(asset + maintenance needed) side-projects-that-could-generate-passive-income
Spending patterns that reveal what I actually value	(category + surprise insight) spending-patterns-that-reveal-what-i-actually-value
Things I'd teach a teenager about money	(lesson + how to make it stick) things-id-teach-a-teenager-about-money
Ways to make generosity a financial habit	(automate giving + amount) ways-to-make-generosity-a-financial-habit
Ways to stress-test my finances	(scenario + am I covered?) ways-to-stress-test-my-finances
What my spending says about who I'm becoming	(trend + is it intentional?) what-my-spending-says-about-who-im-becoming
