text	help
Benefits to offer employees	(health, time, growth) benefits-to-offer-employees
Company culture values to establish	(decisions say yes/no by them) company-culture-values-to-establish
Interview questions to ask candidates	(past behavior > hypotheticals) interview-questions-to-ask-candidates
Remote work policies to implement	(async first + overlap hours) remote-work-policies-to-implement
Rituals that would make our team culture unique	(when + what + why it sticks) rituals-that-would-make-our-team-culture-unique
Roles we need to hire for	(map to impact this quarter) roles-we-need-to-hire-for
Skills gaps in our team	(map gaps to goals) skills-gaps-in-our-team
Skills we need but haven't identified yet	(gap + who might fill it) skills-we-need-but-havent-identified-yet
Team building activities to try	(shared creation) team-building-activities-to-try
Things our team does well that we don't celebrate	(strength + ritual to honor it) things-our-team-does-well-that-we-dont-celebrate
Tough conversations we're avoiding	(topic + cost of silence) tough-conversations-were-avoiding
Types of advisors we need	(domain, GTM, hiring) types-of-advisors-we-need
Ways to improve team communication	(rituals + tooling) ways-to-improve-team-communication
Ways to make onboarding memorable	(first‑day surprise + buddy system) ways-to-make-onboarding-memorable
Ways to recognize team achievements	(public shout + reward) ways-to-recognize-team-achievements
Assumptions the team holds that nobody questions	(sacred cow + test for it) assumptions-the-team-holds-that-nobody-questions
Bottlenecks that only one person can unblock	(dependency + backup plan) bottlenecks-that-only-one-person-can-unblock
Decisions we keep revisiting instead of committing to	(decision + what would make it final) decisions-we-keep-revisiting
Feedback I owe someone on the team	(who + what I appreciate or would change) feedback-i-owe-someone-on-the-team
Meetings we have that could be async	(meeting + async format that works) meetings-we-have-that-could-be-async
Moments when our team is at its best	(situation + what makes it click) moments-when-our-team-is-at-its-best
One-on-one questions I'd actually want my manager to ask me	(question + why it matters) one-on-one-questions-id-actually-want
Phrases we use internally that confuse new hires	(jargon + plain English version) phrases-we-use-that-confuse-new-hires
Processes we follow out of habit, not value	(process + what we'd lose if we stopped) processes-we-follow-out-of-habit
Qualities of the best teammates I've ever had	(quality + how it showed up daily) qualities-of-the-best-teammates-ive-had
Signs our team is burning out that we might be ignoring	(signal + intervention) signs-our-team-is-burning-out
Things I wish I could tell my team anonymously	(truth + why it's hard to say) things-i-wish-i-could-tell-my-team
Traditions that would make our remote team feel closer	(ritual + cadence) traditions-that-would-make-remote-team-feel-closer
Ways to give feedback that people actually hear	(technique + why it lands) ways-to-give-feedback-people-actually-hear
Ways to make our standup less boring	(format tweak + energy boost) ways-to-make-our-standup-less-boring
