text	help
Cities that grow like living organisms	(growth rule + civic consequence) cities-that-grow-like-living-organisms
Civilizations that evolved from plants instead of animals	(adaptation + culture) civilizations-that-evolved-from-plants-instead-of-animals
Economies that trade in dreams	(value metric + trade risk) economies-that-trade-in-dreams
Forms of communication beyond human senses	(channel + thing it can’t say) forms-of-communication-beyond-human-senses
Landscapes sculpted by music	(instrument → terrain effect) landscapes-sculpted-by-music
Rules for worlds with shifting gravity	(when it flips + who adapts) rules-for-worlds-with-shifting-gravity
Societies governed by children	(rule that’s fun but costly) societies-governed-by-children
Societies where memories are currency	(rich memory + inflation risk) societies-where-memories-are-currency
Space travel using unexpected materials	(material + navigation trick) space-travel-using-unexpected-materials
Systems where identity is assigned by nature	(test + loophole) systems-where-identity-is-assigned-by-nature
Technologies powered by emotions	(feeling required + burnout risk) technologies-powered-by-emotions
Timelines with daily seasonal cycles	(schedule shaped by the season) timelines-with-daily-seasonal-cycles
Worlds where music is the primary language	(melody = meaning + misunderstandings) worlds-where-music-is-the-primary-language
Worlds where sleep is social and waking is private	(shared dream + lonely morning) worlds-where-sleep-is-social-and-waking-is-private
You are transported to any tv show or movie world	(as yourself) you-are-transported-to-any-tv-show-or-movie-world
Careers that would exist if humans had tails	(job title + daily task) careers-that-would-exist-if-humans-had-tails
Crimes in a world where lying is physically impossible	(crime + how they get around it) crimes-in-a-world-where-lying-is-impossible
Holidays in a world where the seasons last one day each	(celebration + frantic timing) holidays-in-a-world-where-seasons-last-one-day
How dating would work if people could read minds	(first date scenario + awkwardness) how-dating-would-work-if-people-could-read-minds
How schools would work in a world where kids choose their parents	(enrollment rule + family dynamic) how-schools-would-work-if-kids-chose-parents
Laws of physics that would make cooking impossible	(law change + kitchen chaos) laws-of-physics-that-would-make-cooking-impossible
Problems in a world where everyone can fly	(traffic, privacy, or architecture) problems-in-a-world-where-everyone-can-fly
Professions that would vanish if death didn't exist	(job + what replaces it) professions-that-would-vanish-if-death-didnt-exist
Real estate listings in a world built on clouds	(feature + structural concern) real-estate-listings-in-a-cloud-world
Restaurants in a world where food has feelings	(menu + ethical dilemma) restaurants-in-a-world-where-food-has-feelings
Rules of a sport played across parallel dimensions	(move + what it does in the other dimension) rules-of-a-sport-across-parallel-dimensions
Social media in a world where your posts age you	(post type + aging cost) social-media-in-a-world-where-posts-age-you
Things that would be different if shadows were solid	(everyday scenario + shadow complication) things-that-would-be-different-if-shadows-were-solid
What art looks like in a world with no color	(medium + what replaces color) what-art-looks-like-in-a-world-with-no-color
What money would be in a world where everyone has the same strength	(currency + value source) what-money-would-be-if-everyone-had-same-strength
