text	help
After‑action review questions	(what worked, what failed, next time) afteraction-review-questions
Boredom busters for shelters	(card games, books, crafts) boredom-busters-for-shelters
Cashflow plan for 90 days	(expenses to pause; aid to seek) cashflow-plan-for-90-days
Clean-up priorities after different disasters	(e.g., hazards first) clean-up-priorities-after-different-disasters
Community meeting agenda for recovery	(needs, offers, next steps) community-meeting-agenda-for-recovery
Creative ways to rebuild shelter and infrastructure	(e.g., modular builds) creative-ways-to-rebuild-shelter-and-infrastructure
Debris sorting rules	(hazmat, green waste, recyclables) debris-sorting-rules
Financial planning for recovery	(e.g., grant programs) financial-planning-for-recovery
Fun ways to restore community services	(pop‑up station + music) fun-ways-to-restore-community-services
Household routine re‑start list	(sleep, meals, chores, school) household-routine-restart-list
Ideas for memorializing the event respectfully	(names + living tribute) ideas-for-memorializing-the-event-respectfully
Ideas for organizing volunteer efforts	(e.g., signup board) ideas-for-organizing-volunteer-efforts
Legal/tenant/insurance resources	(contacts + what to bring) legaltenantinsurance-resources
Long-term housing alternatives	(e.g., ADUs) long-term-housing-alternatives
Medical follow‑ups to schedule	(vaccines, refills, checkups) medical-followups-to-schedule
Methods for assessing structural damage safely	(e.g., smell gas) methods-for-assessing-structural-damage-safely
Methods to prevent future disasters	(e.g., defensible space) methods-to-prevent-future-disasters
Pet reunification steps	(posters, shelters, microchip) pet-reunification-steps
Photo/document recovery methods	(rinse, dry, freeze) photodocument-recovery-methods
Psychological resilience practices that actually work	(e.g., simple routine) psychological-resilience-practices-that-actually-work
Replanting or restoring local ecology	(e.g., native species) replanting-or-restoring-local-ecology
Restocking priorities for next time	(e.g., water first) restocking-priorities-for-next-time
Retrospective on comms and coordination	(update plan + share lessons) retrospective-on-comms-and-coordination
Things to do after the immediate danger passes	(e.g., check on neighbors) things-to-do-after-the-immediate-danger-passes
Volunteer onboarding checklist	(brief, buddy, tasks, safety) volunteer-onboarding-checklist
Ways to document losses for insurance	(time‑stamped photos + serials) ways-to-document-losses-for-insurance
Conversations to have with kids after a disaster	(age‑appropriate framing + reassurance) conversations-to-have-with-kids-after-disaster
Rituals to mark the transition from crisis to recovery	(symbolic act + community) rituals-to-mark-transition-from-crisis-to-recovery
Skills I could offer my community during recovery	(skill + who needs it most) skills-i-could-offer-during-recovery
Ways to rebuild routines when everything feels disrupted	(anchor habit + one normal thing) ways-to-rebuild-routines-when-disrupted
